city,loc,pop,state,zip
CAMBRIDGE,-71.104155,33149,MA,2139
NORTH CAMBRIDGE,-71.129379,16313,MA,2140
EAST CAMBRIDGE,-71.088277,10392,MA,2141
CAMBRIDGE,-71.083011,1336,MA,2142
SOMERVILLE,-71.102814,25597,MA,2143
SOMERVILLE,-71.122059,26374,MA,2144
SOMERVILLE,-71.092944,24422,MA,2145
BROOKLINE,-71.128917,56614,MA,2146
MALDEN,-71.060507,54114,MA,2148
EVERETT,-71.051448,35493,MA,2149
CHELSEA,-71.032521,28790,MA,2150
REVERE,-71.005165,42766,MA,2151
WINTHROP,-70.980043,18907,MA,2152
NORTH WALTHAM,-71.236497,57871,MA,2154
MEDFORD,-71.108686,57338,MA,2155
NEWTONVILLE,-71.1902,13271,MA,2158
NEWTON CENTER,-71.191839,18726,MA,2159
NEWTONVILLE,-71.208771,8872,MA,2160
NEWTON HIGHLANDS,-71.209347,6657,MA,2161
NEWTONVILLE,-71.258025,1427,MA,2162
CAMBRIDGE,-71.141879,0,MA,2163
NEWTON UPPER FAL,-71.221615,2597,MA,2164
NEWTONVILLE,-71.22795,12027,MA,2165
AUBURNDALE,-71.247598,6123,MA,2166
BOSTON COLLEGE,-71.16272,15619,MA,2167
WABAN,-71.230703,5759,MA,2168
QUINCY,-70.997816,48920,MA,2169
QUINCY,-71.018644,18330,MA,2170
QUINCY,-71.024141,18251,MA,2171
EAST WATERTOWN,-71.180266,33930,MA,2172
LEXINGTON,-71.225916,28994,MA,2173
ARLINGTON,-71.162517,44539,MA,2174
MELROSE,-71.063191,28228,MA,2176
BELMONT,-71.174647,24733,MA,2178
STONEHAM,-71.0978,22147,MA,2180
WELLESLEY,-71.287966,26615,MA,2181
BRAINTREE,-70.996304,33836,MA,2184
MILTON,-71.077051,25558,MA,2186
WEYMOUTH,-70.958248,13187,MA,2188
WEYMOUTH,-70.931671,14055,MA,2189
WEYMOUTH,-70.94869,17668,MA,2190
WEYMOUTH,-70.944318,9153,MA,2191
NEEDHAM,-71.235172,19570,MA,2192
WESTON,-71.300291,10221,MA,2193
NEEDHAM,-71.234363,8006,MA,2194
BOSTON,-71.082543,886,MA,2199
BOSTON,-71.046511,308,MA,2210
BOSTON,-71.102689,17769,MA,2215
AVON,-71.043738,4594,MA,2322
BRIDGEWATER,-70.97234,21198,MA,2324
CARVER,-70.767754,10573,MA,2330
DUXBURY,-70.716257,13913,MA,2332
EAST BRIDGEWATER,-70.944964,11104,MA,2333
HALIFAX,-70.844794,6526,MA,2338
HANOVER,-70.857006,11912,MA,2339
HANSON,-70.865053,9037,MA,2341
HOLBROOK,-71.008273,11041,MA,2343
MIDDLEBORO,-70.892965,17867,MA,2346
LAKEVILLE,-70.958195,7785,MA,2347
ABINGTON,-70.954293,13849,MA,2351
NORTH EASTON,-71.112337,10397,MA,2356
PEMBROKE,-70.804404,14535,MA,2359
PLYMOUTH,-70.642004,45629,MA,2360
KINGSTON,-70.740993,9045,MA,2364
PLYMPTON,-70.804582,2384,MA,2367
